successfully loaded data

Model initialized.
    number of parameters: 4,848,131
Epoch 152/400, Train Loss: 0.0301
Epoch 153/400, Train Loss: 0.0303
Epoch 154/400, Train Loss: 0.0302
Epoch 155/400, Train Loss: 0.0308
Epoch 156/400, Train Loss: 0.0304
Epoch 157/400, Train Loss: 0.0307
Epoch 158/400, Train Loss: 0.0301
Epoch 159/400, Train Loss: 0.0305
Epoch 160/400, Train Loss: 0.0306
Epoch 161/400, Train Loss: 0.0304
Epoch 162/400, Train Loss: 0.0311
Epoch 163/400, Train Loss: 0.0305
Epoch 164/400, Train Loss: 0.0304
Epoch 165/400, Train Loss: 0.0304
Epoch 166/400, Train Loss: 0.0303
Epoch 167/400, Train Loss: 0.0313
Epoch 168/400, Train Loss: 0.0303
Epoch 169/400, Train Loss: 0.0305
Epoch 170/400, Train Loss: 0.0303
Epoch 171/400, Train Loss: 0.0307
Epoch 172/400, Train Loss: 0.0301
Epoch 173/400, Train Loss: 0.0312
Epoch 174/400, Train Loss: 0.0307
Epoch 175/400, Train Loss: 0.0303
Epoch 176/400, Train Loss: 0.0303
Epoch 177/400, Train Loss: 0.0302
Epoch 178/400, Train Loss: 0.0302
Epoch 179/400, Train Loss: 0.0308
Epoch 180/400, Train Loss: 0.0303
Epoch 181/400, Train Loss: 0.0302
Epoch 182/400, Train Loss: 0.0307
Epoch 183/400, Train Loss: 0.0304
Epoch 184/400, Train Loss: 0.0298
Epoch 185/400, Train Loss: 0.0301
Epoch 186/400, Train Loss: 0.0305
Epoch 187/400, Train Loss: 0.0302
Epoch 188/400, Train Loss: 0.0303
Epoch 189/400, Train Loss: 0.0302
Epoch 190/400, Train Loss: 0.0306
Epoch 191/400, Train Loss: 0.0304
Epoch 192/400, Train Loss: 0.0306
Epoch 193/400, Train Loss: 0.0301
Epoch 194/400, Train Loss: 0.0301
Epoch 195/400, Train Loss: 0.0300
Epoch 196/400, Train Loss: 0.0301
Epoch 197/400, Train Loss: 0.0301
Epoch 198/400, Train Loss: 0.0305
Epoch 199/400, Train Loss: 0.0304
Epoch 200/400, Train Loss: 0.0304
Epoch 201/400, Train Loss: 0.0302
Epoch 202/400, Train Loss: 0.0300
Epoch 203/400, Train Loss: 0.0307
Epoch 204/400, Train Loss: 0.0305
Epoch 205/400, Train Loss: 0.0299
Epoch 206/400, Train Loss: 0.0309
Epoch 207/400, Train Loss: 0.0301
Epoch 208/400, Train Loss: 0.0305
Epoch 209/400, Train Loss: 0.0308
Epoch 210/400, Train Loss: 0.0305
Epoch 211/400, Train Loss: 0.0303
Epoch 212/400, Train Loss: 0.0302
Epoch 213/400, Train Loss: 0.0303
Epoch 214/400, Train Loss: 0.0302
Epoch 215/400, Train Loss: 0.0303
Epoch 216/400, Train Loss: 0.0302
Epoch 217/400, Train Loss: 0.0306
Epoch 218/400, Train Loss: 0.0300
Epoch 219/400, Train Loss: 0.0304
Epoch 220/400, Train Loss: 0.0308
Epoch 221/400, Train Loss: 0.0301
Epoch 222/400, Train Loss: 0.0304
Epoch 223/400, Train Loss: 0.0301
Epoch 224/400, Train Loss: 0.0299
Epoch 225/400, Train Loss: 0.0307
Epoch 226/400, Train Loss: 0.0300
Epoch 227/400, Train Loss: 0.0306
Epoch 228/400, Train Loss: 0.0303
Epoch 229/400, Train Loss: 0.0303
Epoch 230/400, Train Loss: 0.0301
Epoch 231/400, Train Loss: 0.0308
Epoch 232/400, Train Loss: 0.0297
Epoch 233/400, Train Loss: 0.0300
Epoch 234/400, Train Loss: 0.0302
Epoch 235/400, Train Loss: 0.0298
Epoch 236/400, Train Loss: 0.0301
Epoch 237/400, Train Loss: 0.0298
Epoch 238/400, Train Loss: 0.0301
Epoch 239/400, Train Loss: 0.0303
Epoch 240/400, Train Loss: 0.0297
Epoch 241/400, Train Loss: 0.0302
Epoch 242/400, Train Loss: 0.0305
Epoch 243/400, Train Loss: 0.0299
Epoch 244/400, Train Loss: 0.0300
Epoch 245/400, Train Loss: 0.0303
Epoch 246/400, Train Loss: 0.0308
Epoch 247/400, Train Loss: 0.0304
Epoch 248/400, Train Loss: 0.0304
Epoch 249/400, Train Loss: 0.0304
Epoch 250/400, Train Loss: 0.0301
Epoch 251/400, Train Loss: 0.0300
Epoch 252/400, Train Loss: 0.0306
Epoch 253/400, Train Loss: 0.0300
Epoch 254/400, Train Loss: 0.0303
Epoch 255/400, Train Loss: 0.0300
Epoch 256/400, Train Loss: 0.0306
Epoch 257/400, Train Loss: 0.0296
Epoch 258/400, Train Loss: 0.0303
Epoch 259/400, Train Loss: 0.0304
Epoch 260/400, Train Loss: 0.0302
Epoch 261/400, Train Loss: 0.0296
Epoch 262/400, Train Loss: 0.0298
Epoch 263/400, Train Loss: 0.0299
Epoch 264/400, Train Loss: 0.0303
Epoch 265/400, Train Loss: 0.0304
Epoch 266/400, Train Loss: 0.0301
Epoch 267/400, Train Loss: 0.0298
Epoch 268/400, Train Loss: 0.0301
Epoch 269/400, Train Loss: 0.0299
Epoch 270/400, Train Loss: 0.0300
Epoch 271/400, Train Loss: 0.0300
Epoch 272/400, Train Loss: 0.0305
Epoch 273/400, Train Loss: 0.0302
Epoch 274/400, Train Loss: 0.0301
Epoch 275/400, Train Loss: 0.0302
Epoch 276/400, Train Loss: 0.0297
Epoch 277/400, Train Loss: 0.0300
Epoch 278/400, Train Loss: 0.0305
Epoch 279/400, Train Loss: 0.0298
Epoch 280/400, Train Loss: 0.0300
Epoch 281/400, Train Loss: 0.0306
Epoch 282/400, Train Loss: 0.0297
Epoch 283/400, Train Loss: 0.0300
Epoch 284/400, Train Loss: 0.0297
Epoch 285/400, Train Loss: 0.0298
Epoch 286/400, Train Loss: 0.0306
Epoch 287/400, Train Loss: 0.0303
Epoch 288/400, Train Loss: 0.0303
Epoch 289/400, Train Loss: 0.0301
Epoch 290/400, Train Loss: 0.0298
Epoch 291/400, Train Loss: 0.0299
Epoch 292/400, Train Loss: 0.0300
Epoch 293/400, Train Loss: 0.0304
Epoch 294/400, Train Loss: 0.0298
Epoch 295/400, Train Loss: 0.0301
Epoch 296/400, Train Loss: 0.0301
Epoch 297/400, Train Loss: 0.0307
Epoch 298/400, Train Loss: 0.0299
Epoch 299/400, Train Loss: 0.0301
Epoch 300/400, Train Loss: 0.0298
Epoch 301/400, Train Loss: 0.0304
Traceback (most recent call last):
  File "/content/drive/MyDrive/micro-research/diffusion-2/train.py", line 87, in <module>
    epoch_loss += loss.item()
                  ^^^^^^^^^^^
KeyboardInterrupt
